Distributor Name,Medicine Name,State,District,City,Address,Contact Number,Verified,Additional Notes,Created Time,Updated Time
NEETA AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO.41B,41C,42,43,141B,SANDESH DAWA BAZAR,NEAR HAJ HOUSEGANJIPETH, NAGPUR,NAGPUR,440002",,,,,
NARMADA MEDICAL AGENCY,Tocilizumab,Gujarat,,,"FALSHRUTINAGAR,NEAR PLAMLAND HOTEL,STATION ROAD,BHARUCH,BHARUCH,392001",,,,,
NATIONAL PHARMA DISTRIBUTORS,Tocilizumab,Gujarat,,,"EAST WING 3RD FLOOR,J.B.COMPLED OPP.NEW BUS STANDJUNAGADH,JUNAGADH,362001",,,,,
N.K. MEDICINE TRADERS,Tocilizumab,Haryana,,,"SHOP NO 27,PARAS COLONY,KURUKSHETRA(HYA),KURUKSHETRA,136118",,,,,
NEPTUNE PHARMA,Tocilizumab,Uttar Pradesh,,,"19, KANCHAN MARKETNEEBU PARK ROAD,CHOWKLUCKNOW,LUCKNOW,226003",,,,,
NANAK MEDICAL AGENCIES ALLAHABAD,Tocilizumab,Uttar Pradesh,,,"Laxmi Narain marketShahganj , Leader Road32/27,46GAllahabad,ALLAHABAD,211003",,,,,
NATIONAL PHARMA - MUZAFFARPUR,Tocilizumab,Bihar,,,"JURAN CHAPRAROAD NO- 4MUZAFFARPUR,MUZAFFARPUR,842001",,,,,
NEW PURAN MEDICAL AGENCY,Tocilizumab,Bihar,,,"1ST FLOOR, SARRAF PALACENEAR DURGA MANDIRGOVIND MITRA RDPATNA,PATNA,800004",,,,,
NEW VIJAY MEDICO,Tocilizumab,Jharkhand,,,"2nd floor ,Bajaj ComplexMithu Rd.,DHANBAD,826001",,,,,
NORTH BENGAL MEDICAL AGENCY,Tocilizumab,West Bengal,,,"WARD NO -7HOLDING NO 78 123B .D.G RdMODUMPUR , ENGLISHBAZAR,MALDA,732101",,,,,
NAGAMMAI PHARMA DISTRIBUTORS,Tocilizumab,Tamil Nadu,,,"NEW NO. 16, OLD NO. 239,THIRUVENKATASAMY ROAD (EAST)NEAR PONNAIH
HOSPITAL,COIMBATORE,COIMBATORE,641001",,,,,
NIMISH PHARMA& SURGICALS,Tocilizumab,Puducherry (Pondicherry),,,"(BEHIND GOVT.AUTOMOBILE WORKSHOP),PLOT NO:3,5TH CROSS,GNANAPRAKASAM NAGAR,PONDICHERRY-605
008.,PUDUCHERRY,605008",,,,,
NAGARJUNA MEDICAL HALL,Tocilizumab,Telangana,,,"D.NO: 5-7-64, G4,FEEL WELL TOWERS, KHALEELWADI,NIZAMABAD.,NIZAMABAD,503001",,,,,
NORTHERN PHARMA (PTC),Tocilizumab,Kerala,,,"""""""NADAKKAL HEIGHTS'""NEAR KRISHNA TALKIES,MADHUR ROAD,KASARGOD,KASARGOD,671121",,,,,
NAVEEN MEDICAL AGENCIES,Tocilizumab,Telangana,,,"H.NO:1-6-99BOIWADAKARIMNAGAR,KARIMNAGAR,505001",,,,,
NAYAK AGENCIES,Tocilizumab,Maharashtra,,,"4/7/8 AKASHDEEPOPP. RAM BHAVAN, STATION ROAD,BHAYANDER WEST THANE DISTLBT
NO.003/156/2010/11,BHAYANDER WEST,401101",,,,,
TRILOK ENTERPRISES,Tocilizumab,Maharashtra,,,"C S NO 1250-G-2MAHALAXMI APARTMENT, DR CHATUPHALE MARGA/P SHRIRAMPURDIST
AHMEDNAGAR,AHMEDNAGAR,413709",,,,,
OM SWASTIK MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO. 12,13MEDICINE COMPLEXEKORI WARDCHANDRAPUR,CHANDRAPUR,442402",,,,,
S. PARIKH PHARMA,Tocilizumab,Maharashtra,,,"Unit No 6, 1st floor,Dahisar (E)Vardhman Compound,Hitex Embrodary Ind Estate,DAHISAR (E),400068",,,,,
PATHAK BROTHERS & COMPANY(BPL),Tocilizumab,Madhya Pradesh,,,"10 DAWA BAZARJ K BUILDING ,HAMIDIA ROAD, BHOPALBHOPAL (M.P.),BHOPAL,462001",,,,,
PREMIER AGENCIES,Tocilizumab,Chhattisgarh,,,"14/15 , MEDICAL COMPLEXTELIPARA ,BILASPUR,BILASPUR,495001",,,,,
PATEL MEDICAL STORES (MANDSAUR),Tocilizumab,Madhya Pradesh,,,"SCHEME NO-2, ROAD NO. 3,NAI ABADI, GOL CHOURAHA,MANDSAURMANDSAUR (M.P),MANDSAUR,458001",,,,,
PREMCHAND & COMPANY,Tocilizumab,Chhattisgarh,,,"GAUSHALA PARA, 1ST FLOORGOUSHALA PINJARAPOLE, NEAR AZAD CHOWKRAJNANDGAON,GAUSHALA PARA
RAJNANDGAON,491441",,,,,
PUSHPA MEDICOS(SAG),Tocilizumab,Madhya Pradesh,,,"PARKOTASAGARSAGARSAGAR (M.P.),SAGAR,470002",,,,,
PORWAL MEDICAL(NEM),Tocilizumab,Madhya Pradesh,,,"1 VEER PARK ROADNEEMUCHNEEMUCHNEEMUCH (M.P.),NEEMUCH,458441",,,,,
PRAKASHCHANDRA MED STORE (CHQ),Tocilizumab,Maharashtra,,,"163,RAVIVAR PETHP.BOX NO 6PHALTAN,DIST SATARA,PHALTAN,415523",,,,,
PAWANSUT MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"16, SHRI PAWANSUT DAWA BAZARRAMNAGAR RDCHANDRAPUR,CHANDRAPUR,442401",,,,,
PIONEER DISTRIBUTORS,Tocilizumab,Maharashtra,,,"133/1 DHANDEEP COMPLEXADJ TO DUBE NIVAS, BANK LANEPARALI VAIJANATHDIST BEED,PARALI
VAIJANATH,431515",,,,,
PRATAP MEDICAL STORES,Tocilizumab,Maharashtra,,,"MAIN ROAD, AMGAON 441902DISTT. GONDIA,AMGAON,441902",,,,,
POONAM ENTERPRISES (CHQ),Tocilizumab,Maharashtra,,,"FIRST FLOOR, GADRE MANGAL KARYALAYSR.NO.622 13, PLOT NO.081Tal MAHANAGAR PALIKA 1 TO 61
NASHIKGOLE COLONY, , NASHIK.,NASHIK,422001",,,,,
PUNIT MEDICAL STORES,Tocilizumab,Maharashtra,,,"BL. NO. 254,255,256, 2 ND FLOORSANDESH DAWA BAZAR,GANJIPETH, NAGPUR,NAGPUR,440018",,,,,
PHARMA TRADERS (CHQ),Tocilizumab,Maharashtra,,,"KESHAR OPP DSP OFFICEVAZIRABADNANDEDX,NANDED,431601",,,,,
PRADEEP MEDICAL STORES(CHQ),Tocilizumab,Maharashtra,,,"5233, JUNA BAZARDALSE WADAAHMEDNAGARX,AHMEDNAGAR,414001",,,,,
PRABHAT MEDICAL STORES,Tocilizumab,Maharashtra,,,"SHOP NO 1, FROM SOUTH, GROUND FLOOR + 1ST FLOOR,PR NO Z12017207 S NO 149, 5, 149, 6,TAJANE MALA,
NEW NAGAR RDTAL SANGAMNER, AHMEDNAGAR,SANGAMNER,422605",,,,,
PRASAD MEDICAL AND GENERAL STORES,Tocilizumab,Maharashtra,,,"BHARAD COMPLEX, BUS STAND ROADGANGAKHEDDIST PARBHANIX,GANGAKHED,431514",,,,,
PARAS PHARMA DISTRIBUTORS,Tocilizumab,Gujarat,,,"112-113-PANAM PLAZAOPP. RELIEF THEATORSTATION ROAD,BHARUCHBHARUCH 392011,BHARUCH,392001",,,,,
PARIKH MEDICAL STORES,Tocilizumab,Gujarat,,,"MULDAS GALI,NEAR TOWERAMRELITELE-02792-2803F 30,AMRELI,365601",,,,,
PATEL AGENCY,Tocilizumab,Gujarat,,,"STATION ROADGODHARATELE 026723369F 31,GODHRA,389001",,,,,
PATEL DRUG HOUSE,Tocilizumab,Gujarat,,,"P.B.NO.55,ALANKAR TALKIES ROADSURENDRANAGAR,SURENDRANAGAR,363002",,,,,
PARIKH MEDICAL AGENCIES,Tocilizumab,Gujarat,,,"GROUND FLOORALANKAR CINEMA RDNR. SPINWELL IND.SURENDRANAGAR,SURENDRANAGAR,363001",,,,,
PATEL AGENCY DEESA,Tocilizumab,Gujarat,,,"SHOP.NO.13/14,PUROHIT COMPLEXIST FLOOR,LAL CHALI,DEESATELE-02744-221300F 35,DEESA,385535",,,,,
PHARMAKEM,Tocilizumab,Gujarat,,,"SHREEJI COMPLEX,OPP.OLD BUS STATIONJUNAGADH.,JUNAGADH,362001",,,,,
PARTH PHARMA,Tocilizumab,Gujarat,,,"2-3,GROUND FLOOR,SHISHUBHARTI SCHOOL ROAD,OPP. BUS STANDUNA,UNA,362560",,,,,
OM MEDICAL & GENERAL STORES,Tocilizumab,Rajasthan,,,"1-C DAWA BAZARNEAR JAIN TEMPLEMOHAN COLONYBANSWARA,BANSWARA,327001",,,,,
POONUM MEDICOS,Tocilizumab,Punjab,,,"BASSI KHAWAJU MARKET,BEHIND PEER MADHI SHAHHOSHIARPUR,HOSHIARPUR,146001",,,,,
PRAVEEN MEDICAL HALL (RT),Tocilizumab,Uttar Pradesh,,,"140, KHAIR NAGAR BAZARMEERUT CITYMEERUT U.P.MEERUT,MEERUT,250002",,,,,
PRAMOD MEDICAL AGENCY,Tocilizumab,Chhattisgarh,,,"G.F, 1st & 2nd Floor, Ward No. 12,Sheet No 42, Plot No. 104 2,Bid para , Masta gali,ANATHALAYA PARISHAR
RAIGARH,496001",,,,,
PRABHU ENTERPRISES,Tocilizumab,Bihar,,,"PRABHU COMPLEXBINODPURKATIHAR,KATIHAR,854105",,,,,
PARAMOUNT MEDICAL AGENCIES,Tocilizumab,Andhra Pradesh,,,"30-8-7, BHANU STREETDABAGARDENSVISAKHAPATNAM,VISAKHAPATNAM,530020",,,,,
LAXMI MEDICAL (PUNE),Tocilizumab,Maharashtra,,,"S/NO 29 RAMWADINAGAR ROADPUNEX,PUNE,411014",,,,,
RAJENDRA DISTRIBUTORS,Tocilizumab,Maharashtra,,,"C S NO 11661/11662/11663/11664/11661ST 2ND 3RD FLR. NEAR OMKAR HALLBEHIND S T STAND
,SANGLI,SANGLI,416416",,,,,
RAJA MEDICAL STORES,Tocilizumab,Maharashtra,,,"BARRACK.NO.978, ROOM NO.4 & 5,OPP SNEAR POST OFFICE STATION ROAD,ULHASNAGAR, THANE DISTLBT NO
3 23 02 095 2012 13,ULHASNAGAR,421003",,,,,
RAHUL DISTRIBUTORS PVT LTD ( MS ),Tocilizumab,Maharashtra,,,"C-9,10 &11,A-11, ROYAL INDUSTRIAL ESTATE5B NAIGAON CROSS ROAD,WADALA (WEST)WADALA ( W )
MUMBAI.,MUMBAI,400031",,,,,
RATHI MEDICAL AGENCIES,Tocilizumab,Chhattisgarh,,,"HIG- C1 & C2HOUSING BOARD COMPLEXOPP. TO NEW BUS STAND,HOUSING BOARD COMPLEX DUR,491001",,,,,
RAKHECHA MEDICAL STORES,Tocilizumab,Chhattisgarh,,,"SADAR BAZARDHAMTARI,SADAR BAZAR DHAMTARI,493773",,,,,
RAJ MEDICAL AGENCIES (GWL),Tocilizumab,Madhya Pradesh,,,"HUZRAT ROAD,LASHKARGWALIORGWALIOR (M.P.),GWALIOR,474001",,,,,
RAJ MEDICAL AGENCIES (KOLHAPUR),Tocilizumab,Maharashtra,,,"H no 426/7 to 15 (B), Gandhi NagarChinchwad RoadKarveerAp Gandhi Nagar,KOLHAPUR,416119",,,,,
RAJYOG DISTRIBUTORS (CHQ),Tocilizumab,Maharashtra,,,"NEW PLOT STATION ROADHINGOLI 431513,HINGOLI,431513",,,,,
RAJNIKEM PHARMACUITICALS(CHQ),Tocilizumab,Maharashtra,,,"Shop No :- 17 / 18, 1st Floor.Property No - D0008706, Aushadhi Bhawan,Dalal Wadi, New Gulmandy
RoadAURANGABAD,AURANGABAD,431001",,,,,
RAM DISTRIBUTORS,Tocilizumab,Maharashtra,,,"PROP. NO. 487, NAZUL SHEET NO. 5A PLOT NO. 2FIRST FLOOR, SUVARNA COMPLEX,WARD NO. 20, NEAR
GANPATI MANDIR,,BULDHANA,443001",,,,,
M/S RUDRAKSHA PHARMA,Tocilizumab,Maharashtra,,,"Shop No :- 1, Ground Floor, 1st & 2nd FloorHem-Varsha Building,Survey No-622/6B,665/10 Ghar No-704/0480Near LIC
Office, Goley Colony,NASHIK,422002",,,,,
RAJMANE MEDICAL STORES,Tocilizumab,Maharashtra,,,"2/781,, DHOKI ROADKALAMBDISTRICT OSMANABAD(RS),KALAMB,413507",,,,,
RUSHABH MEDICAL AGENCY,Tocilizumab,Gujarat,,,"RADHEY COMPLEX,NR. CHHATRI CHOWK,STATION ROAD,BOTAD,BOTAD,364710",,,,,
RELIEF PHARMA DISTRIBUTORS,Tocilizumab,Gujarat,,,"14, VASANT PHARMA COMPLEXPANCHRATNAAMIR ROAD,PALANPURPALANPUR,PALANPUR,385001",,,,,
Ms RANK MEDICINE,Tocilizumab,Gujarat,,,"MILKAT NO 789/R/T/SSER VE NO. 4312SHOP NO. 8 9 10 1ST FLRBHARTI COMPLEXNAVJIVAN
CHOKEMODASA,MODASA,383315",,,,,
RADHAKRISHNA MEDICAL AGENCY,Tocilizumab,Gujarat,,,"Shop no. 201 to 2062nd FlSurat Dawa BazzarVasta Devdi RdKatargam,SURAT,395004",,,,,
ROYAL DISTRIBUTORS,Tocilizumab,Gujarat,,,"301 TO 305 3RD FLOORSURAT DAWA BAZAARB/H KIRAN HOSPITAL, VASAT DEVDI
RDKATARGAMSURAT,SURAT,395004",,,,,
RUSHABH CHEMIST,Tocilizumab,Gujarat,,,"Plot no 341/1,Ground FloorSector 29Near GH 6,Gandhinagar,GANDHINAGAR,380029",,,,,
RAJENDRA MEDICAL AGENCIES (VRN),Tocilizumab,Uttar Pradesh,,,"CK 15/2BULANALAVARANASI,VARANASI,221001",,,,,
R.K.SALES (RANCHI),Tocilizumab,Jharkhand,,,"COURT ROADRANCHI,RANCHI,834001",,,,,
RUBIKA COMMERCIAL ENTERPRISES,Tocilizumab,Assam,,,"AMBICAPATTYSILCHAR CACHARASSAM,SILCHAR,788004",,,,,
RATHNA AGENCIES - ( MDU ),Tocilizumab,Tamil Nadu,,,"NO 109, BASEMENT FLOOR,WEST PERUMAL MAISTRY STREET,BACK SIDE,MADURAI,MADURAI,625001",,,,,
RADHA KRISHNA MEDICAL AGENCIES,Tocilizumab,Telangana,,,"H NO: 10-2-86BUS DEPOT ROADKHAMMAM- 507001TEL: 08742 29560,KHAMMAM,507001",,,,,
R K PHARMA DISTRIBUTORS,Tocilizumab,Andhra Pradesh,,,"DNO:10-5-225/A, DODDAPURAM STREETTIRUPATHI 517 501TEL 08574 20610,TIRUPATHI,517501",,,,,
RUCHI MEDICAL PVT. LTD,Tocilizumab,Uttarakhand (Uttaranchal),,,"18 P.D TANDON MARGLAXMAN CHOWKDEHRADUN,DEHRADUN,248001",,,,,
M/S S.R. PHARMA (O) RANCHI,Tocilizumab,Jharkhand,,,"SHARDHANAND ROADRANCHI,RANCHI,834001",,,,,
SHREE AGENCIES,Tocilizumab,Maharashtra,,,"GR FLOOR & FIRST FLOOR, GAT NO-88/6PLOT NO-10 11 , MILKAT NO- 1034007142OLD MI NO- J0495, KHATRI
PARKTALUKA BARAMATI,BARAMATI,413102",,,,,
SHUBHADA PHARMA,Tocilizumab,Maharashtra,,,"3, DEV DEEP BLDG, GR. FLOORSITALADEVI TEMPLE ROADMAHIMMUMBAI,MAHIM,400016",,,,,
SWETA DISTRIBUTORS PVT LTD.,Tocilizumab,Maharashtra,,,"B' WING HAMIRMAL TOWER, 1 ST FLOOR'OPP RAM BHAWAN, STATION ROAD,BHAYANDER (WEST),DIST
THANELBT NO.0030060201011,BHAYANDER (WEST),401101",,,,,
SACHIN AGENCIES,Tocilizumab,Maharashtra,,,"BHARAT VIDDYALAYA COMPLEXC. F. 24 OMERGA 413 606DIST. OSMANABAD,OMERGA,413606",,,,,
SHAM DISTRIBUTORS,Tocilizumab,Maharashtra,,,"''SHAM SADAN' 15, VISANJI NAGAR ,JALGAONXX,JALGAON,425001",,,,,
SHYAM MEDICAL STORE,Tocilizumab,Chhattisgarh,,,"'SANJEEVANI "" JAIL ROADAMBIKAPURAMBIKAPUR,AMBIKAPUR,497001",,,,,
SAMEER MEDICAL STORE,Tocilizumab,Chhattisgarh,,,"SADAR BAZARRAIGARHRAIGARH,SADAR BAZAR RAIGARH,496001",,,,,
SOBEG SINGH SAHNI & SONS(BETUL),Tocilizumab,Madhya Pradesh,,,"OPP. DR. LASHKARECIVIL LINEBETULBETUL (M.P.),BETUL,460001",,,,,
SINGHAL MEDICALS(SAG),Tocilizumab,Madhya Pradesh,,,"KATRA BAZARSAGARSAGARSAGAR (M.P.),SAGAR,470002",,,,,
SETHI PHARMA DISTRIBUTORS PVT. LTD,Tocilizumab,Madhya Pradesh,,,"HOSPITAL CHOWKREWAREWA.REWA (M.P.),REWA,486001",,,,,
SIKARWAR PHARMA VIDISHA,Tocilizumab,Madhya Pradesh,,,"PHARMACEUTICAL DISTRIBUTOR AND STOCKISTBANSKULI MATA VALI GALIVIDISHAVIDISHA
(M.P.),VIDISHA,464001",,,,,
S.K. COMMERCIAL COMPANY,Tocilizumab,Chhattisgarh,,,"31, MEDICAL COMPLEX,G.E. ROADRAIPUR,RAIPUR,492001",,,,,
SHREE MEDICAL & GENERAL STORES,Tocilizumab,Maharashtra,,,"RISODRISODDIST: WASHIM,RISOD,444506",,,,,
SHEETAL PHARMA (CHQ),Tocilizumab,Maharashtra,,,"SHOP NO 1 JANKI PLAZAGOLE COLONYNASIKNASIK,NASHIK,422002",,,,,
RAJ DISTRIBUTORS (BARSHI),Tocilizumab,Maharashtra,,,"1ST FLOOR , C S NO 4103/B. PROF 1300239TAL BARSHIKHANAPURA ROAD,BARSHI,BARSHI,413401",,,,,
SUNY DISTRIBUTORS(CHQ),Tocilizumab,Maharashtra,,,"584 E WARD , MAHAVIR PLAZA1ST LANE , SHAHUPURIKOLHAPURKOLHAPUR,KOLHAPUR,416001",,,,,
SHIVAM ENTERPRISES NSPR,Tocilizumab,Madhya Pradesh,,,"WHOLE SALE-CHEMIST & DRUGISTMAIN ROAD RAM WARD, KANDELINARSINGHPURNARSINGHPUR
(M.P.),NARSINGHPUR,487001",,,,,
S.K. MEDICOSE (KGN),Tocilizumab,Madhya Pradesh,,,"6, BAJAJ COMPLEX,TALAI MARG,KHARGONEKHARGONE (M.P.),KHARGONE,451001",,,,,
SHRIRAM AGENCIES,Tocilizumab,Maharashtra,,,"871, SHRIRAM NIWAS,SHIVAJI NAGAR,DAPOLI 415 712 DIST RATNAGIRI(RM),DAPOLI,415712",,,,,
SINDH PHARMA(PIPARIYA),Tocilizumab,Madhya Pradesh,,,"OLD GALLA BAZAAR,TULSI NAGAR, P.O. PIPARIYAPIPARIYA (M.P.)DIST HOSHANGABAD,PIPARIYA,461775",,,,,
SHRIKANT AUSHADHI BHANDAR,Tocilizumab,Maharashtra,,,"121/4B PLOT NO 5SANGRAMNAGARAKLUJ 413 101AKLUJ,AKLUJ,413101",,,,,
SHREE NARENDRA MEDICAL & GENERAL ST,Tocilizumab,Maharashtra,,,"PHARMACUITICAL DISTRIBUTORS1ST FL HARI OM BUILD, NEAR GITAEE VASNEAR GITAEE VASTRALAYA,
MONDHA RDBASMATNAGAR,BASMAT,431512",,,,,
SATARA DISTRIBUTORS (CHQ),Tocilizumab,Maharashtra,,,"BASAPPA PETHRADHIKA ROADSATARASATARA,SATARA,415002",,,,,
SHAH BROTHERS (CHQ),Tocilizumab,Maharashtra,,,"SHOP NO.38/39SIDDHESHWAR SHOPPING CENTRESHOLAPUR 413 001(SG),SOLAPUR,413007",,,,,
SHREE BALAJI DISTRIBUTORS,Tocilizumab,Maharashtra,,,"PHARMACUITICAL DISTRIBUTORSNEAR BALAJI MEDICAL STORESMAIN RDLOHA DIST NANDED,LOHA,431708",,,,,
SAHYADRI DISTRIBUTOR(CHQ),Tocilizumab,Maharashtra,,,"SURVEY NO 220/4, PLOT NO 9NEAR JAIN STHANAK, SATANA ROADMALEGAON423203,MALEGAON,423203",,,,,
SHREE CHINMAY MEDICAL AGENCY (CHQ),Tocilizumab,Maharashtra,,,"BLOCK NO 1, PANDURANG BHAVANNEAR PUNJAB HOTELP.B.ROAD, MALKAPURKARAD,KARAD,415110",,,,,
S.R.MEDICALS,Tocilizumab,Maharashtra,,,"SHOP NO 14, JOSHI SANKOOLGOLE COLONYNASIKX,NASHIK,422002",,,,,
SHREE CHAITANYA AGENCIES(CHQ),Tocilizumab,Maharashtra,,,"SWASTISHREE, PLOT NO 30OPP NIPPANIKAR PLYWOODKUPWAD RD,MIRAJ,MIRAJ,416410",,,,,
SANJAY PHARMA,Tocilizumab,Maharashtra,,,"SHOP NO.39, 1ST & 2ND FLOOR,GULSHAN TOWERS,NEAR PANCHASHEEL TALKIESAMRAVATI,AMRAVATI,444601",,,,,
SANJAY DISTRIBUTORS,Tocilizumab,Maharashtra,,,"5 TH LANE ,DHULE (RM) (S PATIL)X,DHULE,424001",,,,,
SHREE SAI MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"BADA BAZAR,BHANDARA,BHANDARA,441904",,,,,
SHIVA AGENCIES,Tocilizumab,Maharashtra,,,"KAMALA HOUSE, SHOP NO 6MAIN ROAD,BHANDARA,BHANDARA,441904",,,,,
SURAJ AGENCIES,Tocilizumab,Maharashtra,,,"1 ST FLOOR,ABOVE SHRI VYANKATESH MED. STORESNAGINA CHOWK ,PUSAD,PUSAD,445204",,,,,
SANMATI MEDICALS (CHQ),Tocilizumab,Maharashtra,,,"A/5 FIRST FLOOR , SHIV SMARAKGOLD FINCH PETHSOLAPUR 413007SOLAPUR,SOLAPUR,413007",,,,,
"SARASWATI MEDICAL AND GEN STORES,",Tocilizumab,Maharashtra,,,"ANAND NAGAR, PLOT NO 8SURVEY NO 220 4 COLLECTOR ZONESANGAMESHWAR,MALEGAON ( MUNGSA
),MALEGAON,423203",,,,,
SHAH ENTERPRISES,Tocilizumab,Maharashtra,,,"GR FLOOR, SHOP NO 1 & 2 B WINGSANT MAULI SOCIETY ,1324 , SADASHIV PETHPUNE,PUNE,411030",,,,,
SURESH MEDICO,Tocilizumab,Maharashtra,,,"WARD NO 4 MAHAVIR COMPLEX, GALA NOPUNE NASIK
ROADNARAYANGAONNARAYANGAON,NARAYANGAON,410504",,,,,
SAGAR DISTRIBUTORS (CHALISGAON ),Tocilizumab,Maharashtra,,,"SHOP NO. F-25, 1ST FLOOR , GANESH CCHALISGAONXX,CHALISGAON,424101",,,,,
SHREE GURUKRUPA AGENCIES,Tocilizumab,Maharashtra,,,"Near Ankur HospitalShop No.UG.9 & 10Padmawati TowersStation RD,Parbhani,431401",,,,,
SHEETAL AGENCIES,Tocilizumab,Maharashtra,,,"BALAJI PLOTS,KHAMGAONDIST BULDHANA,KHAMGAON,444303",,,,,
SIND MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"38/ 14/ A, PLOT NO. 49,DESHBANDHU WARD,GONDIA,GONDIA,441601",,,,,
SOBTI BROTHERS,Tocilizumab,Maharashtra,,,"SHOP NO. 54,55,56, 154,155,156SANDESH DAWA BAZAR, NEAR HAJ HOUSE,GANJIPETH, NAGPUR,NAGPUR,440002",,,,,
SHREEJI SALES CORPORATION,Tocilizumab,Maharashtra,,,"SHOP NO. 58, 158, 258, 259SANDESH DAWA BAZAR, GANJIPETHNAGPUR,NAGPUR,440002",,,,,
SHREE MANOLAXMI AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO 9 AND 10MEDICINE COMPLEXEKORI WARD NO 1CHANDRAPUR,CHANDRAPUR,442402",,,,,
SANJIVAN MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"11,SHRI PAVANSUT,DAVA BAZAR,RAMNAGR,CHANDRAPUR,CHANDRAPUR,442402",,,,,
SHRI SAINATH MEDICALS,Tocilizumab,Maharashtra,,,"BHAMATIPURA NEAR -NIRMAL BAKERY,CHINTAMANI BULDING,WARDHA,WARDHA,442001",,,,,
SHREE RADHE MEDICALS,Tocilizumab,Maharashtra,,,"1 ST FLOOR, PLOT NO. 39 , SHEET NO. 10 D,STATION VIBHAG , WARD NO. 6MURTIZAPURDIST
AKOLA,MURTIZAPUR,444107",,,,,
SHRI SWAMI SAMARTH AGENCIES,Tocilizumab,Maharashtra,,,"GALA NO 3 , JANAKI PLAZAGOLE COLONYNASHIK,NASHIK,422002",,,,,
SHREE MAHALAXMI AGENCIES(MUL),Tocilizumab,Maharashtra,,,"WARD NO. 11, BAZAR CHOWK,MULDIST CHANDRAPUR,MUL,441224",,,,,
SAGAR MEDICAL & GENERAL STORES,Tocilizumab,Maharashtra,,,"PROPERTY NO.572, HOUSE NO. 401,SHOP OF SHRI JAGANNATHAPPA JIRWANKARLONI RDRISOD DIST.
WASHIM,RISOD,444506",,,,,
SANJIVANI AGENCY (AHMEDNAGAR),Tocilizumab,Maharashtra,,,"C S NO 3780 , FARAK NO 3587GALA NO 2 , MANIK CHOWKAHMEDNAGARAHMEDNAGAR,AHMEDNAGAR,414001",,,,,
SAURASHTRA SURGICAL MEDICAL AGENCY,Tocilizumab,Gujarat,,,"MAITRI OPP.TALUKA SCHOOLNR.MOTI TANKI,P.O.BOX 123RAJKOT,RAJKOT,360001",,,,,
SHREE NAVDURGA MEDICAL AGENCY,Tocilizumab,Gujarat,,,"BASEMENT,AKASH GANGA APPTNR. DR. BHACCA DISPENSARYWANKI BORDI,
SAIYEDPURA,SURAT,SURAT,395003",,,,,
SHREE SARSWATI MEDICAL AGENCIES,Tocilizumab,Gujarat,,,"12/1781, 1782/A, Basementvakil street, shahporeopp. Motiwala masjidHana park,SURAT,395003",,,,,
SHREE TIRUPATI ENTERPRISE,Tocilizumab,Gujarat,,,"33, AKAR COMPLEX1ST FLOOR, S.T.ROAD,VERAVALF 45,VERAVAL,362265",,,,,
S P PHARMA AGENCY,Tocilizumab,Gujarat,,,"1ST FLOORNR.SANTRAM CO.OPP.BANK,OPP.GHANTAKARNA COMLEX, GUBJ BAZAR,NADIAD,NADIAD,387001",,,,,
SHREE SHAKTI AGENCY,Tocilizumab,Gujarat,,,"1-2, ORBIT CENTREGROUND FLOOR,MOTI TANKI CHOWKRAJKOT,RAJKOT,360001",,,,,
VAIBHAV SALES,Tocilizumab,Gujarat,,,"'PUSHPAK', UPALI BAZARBARDOLI,BARDOLI,394601",,,,,
SHREE UMIYA AGENCY,Tocilizumab,Gujarat,,,"TAMAKUWALA CHAMBERS,BECHAR RDVALSAD,VALSAD,396001",,,,,
SHREYAS PHARMACEUTICAL,Tocilizumab,Gujarat,,,"PRATAP CHAMBERS,NR.S.T.RLYCROSSING,UNJHATELE 02768 54114F 52,UNJHA,384170",,,,,
SHREE RAM MEDICAL AGENCIES,Tocilizumab,Gujarat,,,"GIRIRAJ KUNJ,DR.RAJENDRA PRASAD ROAD,RAJKOTRAJKOT F 24,RAJKOT,360001",,,,,
RAJENDRA PHARMACY,Tocilizumab,Gujarat,,,"""""""ARIHANT PLAZA""""""GROUND FLOOR,MOTI TANKI CHOCKRAJKOT.,RAJKOT,360001",,,,,
SURAJ ENTERPRISE,Tocilizumab,Gujarat,,,"DR.RADHAKRISHNA ROAD,NR. MOTI TANKI,RAJKOT,RAJKOT,360001",,,,,
SHUBHAM AGENCIES,Tocilizumab,Gujarat,,,"""""""F""""-KAILASH COMPLEX 1ST FLOOR,""BUS STATION ROAD,GONDALGONDAL 360 311,GONDAL,360311",,,,,
SHREERAJ MEDICAL AGENCY,Tocilizumab,Gujarat,,,"' SMURTI BUILDING 'SIYAPURA, RAOPURABARODA 390 001,BARODA,390001",,,,,
SOHAM MEDICAL AGENCY,Tocilizumab,Gujarat,,,"64, DIGVIJAY PLOT,NEAR JOLLY BUNGLOW,SUMMAIR CLUB ROAD,JAMNAGAR,JAMNAGAR,361005",,,,,
